customer_tweet_id,customer_text,response_text,gold_intent,label_status
577071,@AmazonHelp I have done that and was told there needs to be an investigation!! I can tell you right now I’ve paid for two Alexa’s that were not delivered to me - investigation complete. Please send out my two Alexa’s,@255817 Can I ask if you were provided with a timescale for the investigation to be completed?^TI,device_setup,SEED_REVIEW_REQUIRED
369260,@AmazonHelp That's exactly what she did. Bought it from Amazon / posted the review. But not thru your email to her. She posted via website.,"@203483 Sorry, we would be unable to change this as it is an automatic feature done through email.^CD",app_service_failure,SEED_REVIEW_REQUIRED
763607,"@AmazonHelp my account info was changed without my consent and in order to contact your support I need to log in which I can't do, any help",@302485 I'm sorry you're having account troubles! Please reach out to us here: https://t.co/jzvkhdlrK5 and we can help! ^TK,account_access,SEED_REVIEW_REQUIRED
99942,@AmazonHelp Your call centre staff were really unhelpful. One even hung up on me. I just have to wait for my item but I’m not happy at all.,@137883 I'm sorry for the upsetting experience. Please make sure to fill out the survey sent after the call. This will go directly to their leadership for review. ^VS,product_purchase,SEED_REVIEW_REQUIRED
46548,@AmazonHelp I got a msg saying that my order has been cancelled for no specific reason and the payment has already been done https://t.co/8pCGmquCer,@126337 you may get in touch with us over the phone or chat from here: https://t.co/rS49hgaADF (3/3)^SU,billing_payment,SEED_REVIEW_REQUIRED
477771,.@115821 Fucking warn someone when you take the payment for prime.,"@228495 Hi Justin, I am sorry that you were unknowingly charged. If you wish to have it canceled and refunded you can contact us here:  https://t.co/hApLpMlfHN",billing_payment,SEED_REVIEW_REQUIRED
432314,"@120533 @120535 @AmazonHelp hi, i'd like to complain about a specific transporter and wish not to be delivered by him ever again. Is it possible ?",@217816 We will give you an answer on your french post !,order_delivery,SEED_REVIEW_REQUIRED
348813,@115830 I can believe the appalling service I have received from you today after my card was used fraudulently on Amazon!,"@199028 Hi, sorry to hear that, can you tell us more w/o sharing sensitive info? Was it escalated to the accounts specialists team? ^JJ",security_privacy,SEED_REVIEW_REQUIRED
350279,@AmazonHelp @AmazonHelp @115850 Really disappointing the way you treat a very loyal and Amazon Prime Customer. Absolutely Pathetic.,"@199332 I get you being upset, Priyank. However, I'll be sure to forward your feedback internally. ^MS",prime_subscription,SEED_REVIEW_REQUIRED
222706,@AmazonHelp This error is coming for all 3 devices and issue is only with Amazon app https://t.co/xdPeTBSZbZ,@169201 I'll be sure to pass your comments as feedback to our concerned team for review. ^GS,app_service_failure,SEED_REVIEW_REQUIRED
555310,@AmazonHelp There were many in which I participated. Where can I find the winners list on the app? No specific tab?,@249651 You can find the winners list of all contests here: https://t.co/nQ1CCPJYu0 ^NR,feature_howto,SEED_REVIEW_REQUIRED
180330,@AmazonHelp My phone has been picked up today now plz tell me when I will be getting the refund as I can't wait now have u buy a new one!! Let me know,@158418 Please get in touch with our support team here: https://t.co/vlvfJr4nN9 they will let you know the further details. ^GU,refund_return,SEED_REVIEW_REQUIRED
286234,@115850 @AmazonHelp that's for ruining my birthday by not delivering the order on time even tho it was place 2 days ago!!!,"@184193 We're sorry to miss a special occasion. Did you happen to report this to us, here: https://t.co/vlvfJr4nN9? ^YP",device_setup,SEED_REVIEW_REQUIRED
465733,@115850 @AmazonHelp you guys are running late. U've to announce the winner for #OnePlus5TAppQuiz by 30th Nov. &amp; it's already 1st. https://t.co/Jzr3Bin4gA,@225813 Sorry for the delay in announcing the results. We're working on it. Stay tuned. ^NS,order_delivery,SEED_REVIEW_REQUIRED
198379,"@162636 @115821 Ordered a book on September 18th. Not on back order, in-stock. won't ship until October 17th. Amazon's reasoning? High demand for that title","@177529 Were there multiple items that could be delaying shipment, Ben? You can see more about this: https://t.co/LXL6jCm4WB ^FR",product_purchase,SEED_REVIEW_REQUIRED
384524,@AmazonHelp Its pending since 9thOct17. Till now no refund. On reminding your team asked me to wait another 6 business days. My hopes and trust is (1/2),@207043 Please share your details from the link here: https://t.co/beaaDm0muc to assist you accordingly. (2/2)^HR,refund_return,SEED_REVIEW_REQUIRED
245840,@AmazonHelp NOW I DON'T HAVE PROBLEM. OFFLINE AND ONLINE MARKET ARE TOOOO BIG. MANY OPTIONS ARE AVAILABLE.,@174394 We will ensure to work on your feedback Nitesh. ^PB,connectivity,SEED_REVIEW_REQUIRED
703842,@AmazonHelp The package is already late. Are packages being delivered today or no?,@288171 I'm sorry your order hasn't arrived! Can you please provide us with the intended delivery date stated in your order confirmation e-mail? ^AC,order_delivery,SEED_REVIEW_REQUIRED
407046,@AmazonHelp Well I tried that. And after here captcha codes and a new verification codes I finally got on only to find I couldn’t submit form because,"@212017 When you click on the link, is there an option to skip sign in? ^PK",account_access,SEED_REVIEW_REQUIRED
224784,"Hey @115850, are the Echo devices you are offering in India second gen or older/first gen?",@169705 Thanks for your interest in our devices. The echo devices which are available on amazon.in are of the second generation. ^SB,device_setup,SEED_REVIEW_REQUIRED
349746,"@116928 Compré por error cubierta bici.Cancelé compra,uds.lo confirman y me cargan el pvp.Ahora a esperar devolución.Por qué?","@199221 Hola Juanvi, lamentamos el malentendido. Te recomendamos que verifiques la siguiente info: https://t.co/lSdjwyAGaO ^AV",app_service_failure,SEED_REVIEW_REQUIRED
230088,@AmazonHelp No iv not been on amazon video...,@170824 Can you get in touch with us here: https://t.co/JzP7hlA23B so we can check into this for you.^CD,content_media,SEED_REVIEW_REQUIRED
519743,"@115821 Prime and Ontrac in Seattle seem to be working 2+ days behind their promised deliveries. Early warning for Christmas deliveries, I suppose.","@239946 Hi Andrew, we aim to process orders quickly and with diligence so that we can get them to the carrier and then into your hands.  I apologize if we have missed the mark as of late. Do you have orders shipping in transit currently? ^CH",prime_subscription,SEED_REVIEW_REQUIRED
343100,@AmazonHelp any idea why the images don’t show up on my Fire Kids 8? Tried looking it up on the internet but can’t see why? Thanks https://t.co/5xGyjOvUbR,@197677 I'm sorry your images are not showing up. Have you tried the troubleshooting steps shown here: https://t.co/YO1DFefzbQ ^JF,connectivity,SEED_REVIEW_REQUIRED
169587,"Ow, eu que sou muito burra ou não dá pra colocar ebook da @117804 no carrinho do site pra comprar vários?

Só tá me dando opção de comprar um por vez 😭","@155491 Olá, Mari! Para fazer compras de conteúdo digital (eBooks), você precisa comprar um por vez. 🙂 ^NB",content_media,SEED_REVIEW_REQUIRED
16112,@AmazonHelp Ahhh okay makes sense :) thank you! I hope my package comes Friday 🙌,@119534 Please keep us posted as we want to make sure your order arrives!  ^AG,order_delivery,SEED_REVIEW_REQUIRED
123431,thankful for amazon taking a month to ship my item and never getting it then saying they can send me a replacement which will also take a month. sick amazon prime two month shipping 🙃,@143574 I'm very sorry for this wait. What was the initial delivery date as shown on the Your Orders page: https://t.co/Y5jpI9gRhE ^DO,refund_return,SEED_REVIEW_REQUIRED
654274,"2 faulty items, 3 phone calls and still waiting for a supervisor to phone from @115830 and call staff who speak very very poor English!!!",@157017 We want you to have a pleasant experience with us! Please keep us updated on your conversation with the supervisor. We;re here for you! ^KJ,product_purchase,SEED_REVIEW_REQUIRED
215212,amazon keeps messing up my her order i got one email saying it was cancelled but when i go on the website it says its gonna be shipped i,@167131 Oh my! What does your order status show here: https://t.co/Y5jpI9gRhE? Let us know! ^KJ,app_service_failure,SEED_REVIEW_REQUIRED
417509,I love when my internet is working flawlessly but my @115821 Prome account won't load...happens twice a week #NetflixIsBetter,@214620 I'm sorry for any frustration! Can you please confirm which platform you're using for video access? What is the error? ^ST,connectivity,SEED_REVIEW_REQUIRED
183671,"@AmazonHelp in that case not sure why does it show delivery available before product checkout, after checkout it says delivery unavailable!","@159190 However, once the pin code is added at checkout the system shows if it's eligible or not 2/2^MS",product_purchase,SEED_REVIEW_REQUIRED
323710,@AmazonHelp They gave us no other option via email. I've been on hold to them for 20mins,@193103 Keep us posted.  ^AF,other_escalate,SEED_REVIEW_REQUIRED
